latitude,longitude,elevation,time,hdop,vdop,speed,azimuth
45.161392,-84.939352,351.447331,2023-12-14 14:30:00-05:00,0.0,0.0,1.925749,113.100000
45.161381,-84.939219,351.358233,2023-12-14 14:30:15-05:00,0.0,0.0,0.473056,126.300000
45.161319,-84.939097,349.149894,2023-12-14 14:30:48-05:00,0.0,0.0,8.166359,125.500000
45.16126,-84.938995,346.674771,2023-12-14 14:30:50-05:00,0.0,0.0,11.210639,130.900000
45.161194,-84.93885,345.826564,2023-12-14 14:30:52-05:00,0.0,0.0,14.283393,123.500000
45.161138,-84.938731,344.387124,2023-12-14 14:30:54-05:00,0.0,0.0,12.545974,125.000000
45.161035,-84.938604,337.463842,2023-12-14 14:30:56-05:00,0.0,0.0,16.258409,137.100000
45.160973,-84.938392,336.352221,2023-12-14 14:30:58-05:00,0.0,0.0,18.412131,115.600000
45.160974,-84.93821,336.251504,2023-12-14 14:31:00-05:00,0.0,0.0,16.068699,96.100000
45.160919,-84.938076,335.074041,2023-12-14 14:31:02-05:00,0.0,0.0,13.653749,114.700000
45.160871,-84.937951,333.322163,2023-12-14 14:31:04-05:00,0.0,0.0,12.533138,113.400000
45.160883,-84.937813,333.551386,2023-12-14 14:31:06-05:00,0.0,0.0,11.403463,86.600000
45.160901,-84.93768,333.986905,2023-12-14 14:31:08-05:00,0.0,0.0,11.270806,84.700000
45.160871,-84.937557,331.995806,2023-12-14 14:31:10-05:00,0.0,0.0,10.413905,104.200000
45.160844,-84.937391,331.586899,2023-12-14 14:31:13-05:00,0.0,0.0,10.039064,94.800000
45.160856,-84.937236,330.296937,2023-12-14 14:31:17-05:00,0.0,0.0,5.699758,88.400000
45.160914,-84.937115,327.599774,2023-12-14 14:31:23-05:00,0.0,0.0,0.0,69.300000
45.160914,-84.937115,327.599774,2023-12-14 14:31:23-05:00,0.0,0.0,0.0,69.300000
45.160927,-84.936968,323.309294,2023-12-14 14:31:26-05:00,0.0,0.0,9.309371,88.400000
45.160935,-84.936811,322.496544,2023-12-14 14:31:28-05:00,0.0,0.0,12.177165,89.200000
45.16093,-84.936683,321.079648,2023-12-14 14:31:30-05:00,0.0,0.0,11.468291,94.800000
45.160972,-84.936546,317.541254,2023-12-14 14:31:32-05:00,0.0,0.0,12.250752,71.700000
45.160997,-84.936391,312.193766,2023-12-14 14:31:34-05:00,0.0,0.0,14.411648,73.400000
45.16107,-84.936235,307.283373,2023-12-14 14:31:36-05:00,0.0,0.0,14.529293,58.800000
45.161103,-84.936056,303.981408,2023-12-14 14:31:38-05:00,0.0,0.0,15.986167,65.400000
45.161149,-84.935921,299.99083,2023-12-14 14:31:40-05:00,0.0,0.0,13.705706,66.100000
45.16123,-84.935759,296.495063,2023-12-14 14:31:42-05:00,0.0,0.0,16.991383,53.700000
45.161318,-84.935622,293.731309,2023-12-14 14:31:44-05:00,0.0,0.0,15.627691,52.700000
45.161387,-84.935458,289.741711,2023-12-14 14:31:46-05:00,0.0,0.0,16.004268,55.400000
45.161464,-84.935315,285.058904,2023-12-14 14:31:48-05:00,0.0,0.0,15.890142,49.300000
45.16157,-84.935242,281.522962,2023-12-14 14:31:50-05:00,0.0,0.0,12.72749,31.500000
45.161574,-84.935114,279.31606,2023-12-14 14:31:51-05:00,0.0,0.0,14.554825,66.400000
45.161589,-84.934974,272.064178,2023-12-14 14:31:53-05:00,0.0,0.0,13.354684,68.400000
45.161716,-84.934883,269.116669,2023-12-14 14:31:55-05:00,0.0,0.0,14.804921,37.300000
45.161762,-84.934704,264.301101,2023-12-14 14:31:57-05:00,0.0,0.0,15.994182,58.400000
45.16184,-84.93457,260.370287,2023-12-14 14:31:59-05:00,0.0,0.0,15.130689,56.700000
45.161904,-84.934394,257.828324,2023-12-14 14:32:01-05:00,0.0,0.0,16.731682,58.000000
45.161986,-84.934225,253.844928,2023-12-14 14:32:03-05:00,0.0,0.0,17.498799,56.000000
45.162066,-84.934058,248.70503,2023-12-14 14:32:05-05:00,0.0,0.0,18.582017,58.600000
45.162112,-84.933945,245.071199,2023-12-14 14:32:06-05:00,0.0,0.0,21.312739,58.000000
45.162196,-84.933855,241.249615,2023-12-14 14:32:07-05:00,0.0,0.0,23.637558,46.900000
45.162272,-84.93378,240.233352,2023-12-14 14:32:08-05:00,0.0,0.0,22.827548,41.200000
45.162334,-84.933682,238.957534,2023-12-14 14:32:09-05:00,0.0,0.0,22.918584,44.500000
45.162395,-84.933575,237.928495,2023-12-14 14:32:10-05:00,0.0,0.0,23.402385,47.500000
45.162512,-84.933385,235.27146,2023-12-14 14:32:12-05:00,0.0,0.0,22.212657,50.800000
45.162637,-84.933217,232.228961,2023-12-14 14:32:14-05:00,0.0,0.0,21.824586,43.600000
45.162772,-84.933092,230.810494,2023-12-14 14:32:16-05:00,0.0,0.0,19.916028,35.500000
45.162875,-84.932937,226.955262,2023-12-14 14:32:18-05:00,0.0,0.0,19.014064,44.800000
45.16302,-84.932796,225.431743,2023-12-14 14:32:20-05:00,0.0,0.0,21.321658,35.100000
45.163137,-84.932665,223.695897,2023-12-14 14:32:22-05:00,0.0,0.0,18.80502,39.000000
45.163223,-84.932567,223.050754,2023-12-14 14:32:24-05:00,0.0,0.0,13.778344,40.900000
45.16332,-84.932506,220.643783,2023-12-14 14:32:26-05:00,0.0,0.0,13.56261,26.000000
45.163431,-84.932488,220.085184,2023-12-14 14:32:28-05:00,0.0,0.0,13.000302,11.000000
45.163523,-84.932417,219.98921,2023-12-14 14:32:31-05:00,0.0,0.0,8.45242,34.800000
45.163626,-84.932381,220.401398,2023-12-14 14:32:35-05:00,0.0,0.0,5.875617,12.100000
45.163724,-84.932318,220.436818,2023-12-14 14:32:39-05:00,0.0,0.0,6.818582,37.200000
45.163797,-84.932233,218.387575,2023-12-14 14:32:43-05:00,0.0,0.0,5.674678,16.800000
45.163859,-84.932126,217.503261,2023-12-14 14:33:24-05:00,0.0,0.0,0.0,55.600000
45.163859,-84.932126,217.503261,2023-12-14 14:33:24-05:00,0.0,0.0,0.0,55.600000
45.163952,-84.932103,220.577535,2023-12-14 14:33:35-05:00,0.0,0.0,2.963191,17.700000
45.164053,-84.932123,224.407609,2023-12-14 14:33:44-05:00,0.0,0.0,3.45434,350.200000
45.164136,-84.932176,224.186684,2023-12-14 14:33:51-05:00,0.0,0.0,3.32134,339.500000
45.164217,-84.932234,222.631311,2023-12-14 14:33:58-05:00,0.0,0.0,3.070757,332.800000
45.164307,-84.932221,219.327976,2023-12-14 14:34:39-05:00,0.0,0.0,0.098163,14.000000
45.164254,-84.932334,218.010133,2023-12-14 14:38:12-05:00,0.0,0.0,2.857096,218.000000
45.164171,-84.932249,220.523613,2023-12-14 14:38:31-05:00,0.0,0.0,4.671152,136.000000
45.164103,-84.932164,218.446206,2023-12-14 14:39:19-05:00,0.0,0.0,0.0,117.700000
45.164103,-84.932164,218.446206,2023-12-14 14:39:19-05:00,0.0,0.0,0.0,117.700000
45.164043,-84.932263,220.100501,2023-12-14 14:39:51-05:00,0.0,0.0,0.465681,238.200000
45.163987,-84.932387,221.896448,2023-12-14 14:40:14-05:00,0.0,0.0,3.598116,245.200000
45.163948,-84.932511,220.512337,2023-12-14 14:40:17-05:00,0.0,0.0,7.815133,244.000000
45.1639,-84.932666,220.711048,2023-12-14 14:40:20-05:00,0.0,0.0,8.82693,243.200000
45.163855,-84.932808,223.502943,2023-12-14 14:40:23-05:00,0.0,0.0,8.709699,245.000000
45.163809,-84.932938,226.080343,2023-12-14 14:40:26-05:00,0.0,0.0,8.44152,242.700000
45.163763,-84.933074,229.121479,2023-12-14 14:40:29-05:00,0.0,0.0,8.51677,242.400000
45.163713,-84.933228,227.222135,2023-12-14 14:40:32-05:00,1.0,0.0,8.069844,244.100000
45.163665,-84.933362,228.43417,2023-12-14 14:40:35-05:00,1.0,0.0,8.637856,243.400000
45.163619,-84.933495,229.624664,2023-12-14 14:40:38-05:00,1.0,0.0,8.660872,242.300000
45.16357,-84.933629,231.065694,2023-12-14 14:40:41-05:00,1.0,0.0,8.531789,243.700000
45.163524,-84.933758,233.030185,2023-12-14 14:40:44-05:00,0.0,0.0,8.692846,243.200000
45.16348,-84.93388,234.662944,2023-12-14 14:40:47-05:00,0.0,0.0,9.517209,242.200000
45.16343,-84.934018,235.085049,2023-12-14 14:40:50-05:00,0.0,0.0,8.822253,244.200000
45.163383,-84.934156,237.030779,2023-12-14 14:40:53-05:00,0.0,0.0,8.75091,242.600000
45.163345,-84.934276,238.756628,2023-12-14 14:40:56-05:00,0.0,0.0,8.706073,242.600000
45.163301,-84.934405,240.805472,2023-12-14 14:40:59-05:00,0.0,0.0,9.504787,240.000000
45.163242,-84.934553,242.25435,2023-12-14 14:41:02-05:00,0.0,0.0,8.686086,243.700000
45.163193,-84.93469,243.838942,2023-12-14 14:41:05-05:00,0.0,0.0,8.530091,243.900000
45.163145,-84.934823,245.643541,2023-12-14 14:41:08-05:00,0.0,0.0,8.577161,242.900000
45.163097,-84.934956,247.269458,2023-12-14 14:41:11-05:00,1.0,0.0,8.377745,239.500000
45.163045,-84.935079,249.327723,2023-12-14 14:41:14-05:00,1.0,0.0,8.503449,242.200000
45.162995,-84.935215,251.742955,2023-12-14 14:41:17-05:00,1.0,0.0,8.745965,242.800000
45.162944,-84.935351,254.2416,2023-12-14 14:41:20-05:00,1.0,0.0,8.701347,242.700000
45.162898,-84.935486,257.091869,2023-12-14 14:41:23-05:00,1.0,0.0,8.565021,243.000000
45.162851,-84.935626,259.904712,2023-12-14 14:41:26-05:00,1.0,0.0,8.60249,241.900000
45.162801,-84.935761,263.058837,2023-12-14 14:41:29-05:00,1.0,0.0,8.370587,242.100000
45.162755,-84.935888,266.461876,2023-12-14 14:41:32-05:00,1.0,0.0,8.41386,243.000000
45.162708,-84.936017,269.787403,2023-12-14 14:41:35-05:00,1.0,0.0,8.352,242.900000
45.162668,-84.936142,273.687958,2023-12-14 14:41:38-05:00,1.0,0.0,8.322991,243.700000
45.162626,-84.93627,277.400169,2023-12-14 14:41:41-05:00,1.0,0.0,8.220414,243.000000
45.162579,-84.9364,280.843623,2023-12-14 14:41:44-05:00,1.0,0.0,8.027376,241.000000
45.162531,-84.936525,284.848884,2023-12-14 14:41:47-05:00,1.0,0.0,8.223134,242.900000
45.162485,-84.93665,289.262028,2023-12-14 14:41:50-05:00,1.0,0.0,7.950136,243.300000
45.162441,-84.936787,294.242366,2023-12-14 14:41:53-05:00,1.0,0.0,7.963167,243.100000
45.162405,-84.936905,298.869598,2023-12-14 14:41:56-05:00,1.0,0.0,7.738715,244.400000
45.162363,-84.937025,303.405796,2023-12-14 14:41:59-05:00,1.0,0.0,7.700774,242.500000
45.162316,-84.937148,307.434851,2023-12-14 14:42:02-05:00,1.0,0.0,8.778194,241.700000
45.16227,-84.937271,311.260434,2023-12-14 14:42:05-05:00,1.0,0.0,7.977004,242.700000
45.162224,-84.937399,315.566914,2023-12-14 14:42:08-05:00,1.0,0.0,8.390303,244.500000
45.162179,-84.937525,319.869228,2023-12-14 14:42:11-05:00,1.0,0.0,7.916665,245.400000
45.162143,-84.937649,324.146025,2023-12-14 14:42:14-05:00,1.0,0.0,8.082071,243.600000
45.162097,-84.937775,327.320276,2023-12-14 14:42:17-05:00,1.0,0.0,8.550626,244.000000
45.162049,-84.93791,330.767846,2023-12-14 14:42:20-05:00,1.0,0.0,8.753376,242.500000
45.162003,-84.938034,333.662428,2023-12-14 14:42:23-05:00,1.0,0.0,8.470508,242.900000
45.161951,-84.93817,336.765081,2023-12-14 14:42:26-05:00,1.0,0.0,8.549664,243.100000
45.161911,-84.938297,339.00027,2023-12-14 14:42:29-05:00,1.0,0.0,8.123736,243.100000
45.161863,-84.938424,340.285376,2023-12-14 14:42:32-05:00,1.0,0.0,8.545991,243.900000
45.161818,-84.938555,342.070832,2023-12-14 14:42:35-05:00,1.0,0.0,8.777241,244.200000
45.161765,-84.938686,343.282942,2023-12-14 14:42:38-05:00,1.0,0.0,8.538525,244.000000
45.161718,-84.938817,344.454582,2023-12-14 14:42:41-05:00,1.0,0.0,8.536833,243.500000
45.161674,-84.938948,345.481938,2023-12-14 14:42:44-05:00,1.0,0.0,9.317251,244.600000
45.161625,-84.939094,346.744034,2023-12-14 14:42:47-05:00,1.0,0.0,9.291189,244.100000
45.161581,-84.939223,347.820171,2023-12-14 14:42:50-05:00,1.0,0.0,9.000423,244.600000
45.161527,-84.939332,350.428902,2023-12-14 14:42:58-05:00,1.0,0.0,0.0,228.300000
45.161527,-84.939332,350.428902,2023-12-14 14:42:58-05:00,1.0,0.0,0.0,228.300000
45.16148,-84.939455,351.607739,2023-12-14 14:43:03-05:00,0.0,0.0,3.449403,256.400000
45.161466,-84.939597,352.42477,2023-12-14 14:43:09-05:00,0.0,0.0,4.73639,263.900000
45.161434,-84.93972,352.965194,2023-12-14 14:43:17-05:00,0.0,0.0,2.619526,224.600000
45.16141,-84.939861,352.052094,2023-12-14 14:43:24-05:00,0.0,0.0,3.168965,256.100000
45.16136,-84.939972,351.060776,2023-12-14 14:43:32-05:00,0.0,0.0,0.71337,244.500000
45.161314,-84.940095,350.338207,2023-12-14 14:44:19-05:00,1.0,0.0,2.567837,276.300000
45.161324,-84.940228,349.783918,2023-12-14 14:44:24-05:00,0.0,0.0,4.848378,264.600000
45.161284,-84.940369,349.037761,2023-12-14 14:44:30-05:00,0.0,0.0,0.0,237.800000
45.161284,-84.940369,349.037761,2023-12-14 14:44:30-05:00,0.0,0.0,0.0,237.800000
45.161215,-84.940485,348.258728,2023-12-14 14:44:34-05:00,0.0,0.0,7.409471,246.400000
45.161188,-84.94061,347.52558,2023-12-14 14:44:38-05:00,0.0,0.0,6.219775,264.500000
45.161194,-84.940761,346.336018,2023-12-14 14:44:42-05:00,0.0,0.0,7.029279,258.400000
45.161176,-84.940922,345.573352,2023-12-14 14:44:46-05:00,0.0,0.0,6.774908,264.800000
45.161168,-84.94105,344.643956,2023-12-14 14:44:49-05:00,0.0,0.0,7.265128,262.100000
45.161169,-84.94121,344.390522,2023-12-14 14:44:52-05:00,0.0,0.0,7.969115,277.700000
45.161184,-84.941348,343.411974,2023-12-14 14:44:55-05:00,0.0,0.0,7.977937,266.100000
45.161193,-84.941488,342.517223,2023-12-14 14:44:58-05:00,0.0,0.0,8.028633,278.200000
45.161202,-84.941633,342.429472,2023-12-14 14:45:01-05:00,0.0,0.0,8.218332,273.900000
45.161245,-84.94177,341.421041,2023-12-14 14:45:04-05:00,0.0,0.0,8.218473,303.900000
45.161359,-84.941858,339.015345,2023-12-14 14:45:08-05:00,0.0,0.0,9.811026,333.400000
45.16148,-84.941841,336.910642,2023-12-14 14:45:11-05:00,0.0,0.0,8.969278,357.600000
45.161607,-84.941806,333.928365,2023-12-14 14:45:13-05:00,1.0,0.0,12.339104,12.000000
45.161754,-84.941742,331.919313,2023-12-14 14:45:15-05:00,1.0,0.0,15.304226,22.800000
45.161902,-84.941612,329.337717,2023-12-14 14:45:17-05:00,1.0,0.0,18.597313,30.700000
45.162036,-84.941482,326.487104,2023-12-14 14:45:19-05:00,1.0,0.0,18.373879,37.700000
45.162132,-84.941317,313.86108,2023-12-14 14:45:21-05:00,0.0,0.0,17.951673,47.600000
45.162232,-84.941191,311.643541,2023-12-14 14:45:23-05:00,0.0,0.0,17.040184,49.600000
45.16228,-84.941035,310.192927,2023-12-14 14:45:25-05:00,0.0,0.0,15.369341,61.000000
45.162392,-84.94093,307.796273,2023-12-14 14:45:27-05:00,0.0,0.0,16.099208,32.600000
45.162491,-84.940822,305.766052,2023-12-14 14:45:29-05:00,0.0,0.0,15.93652,41.600000
45.162611,-84.940711,302.975238,2023-12-14 14:45:31-05:00,0.0,0.0,17.447474,32.200000
45.162699,-84.940564,300.724736,2023-12-14 14:45:33-05:00,0.0,0.0,17.108433,44.200000
45.162818,-84.940443,298.231731,2023-12-14 14:45:35-05:00,0.0,0.0,17.744611,38.100000
45.162935,-84.94032,295.9921,2023-12-14 14:45:37-05:00,0.0,0.0,18.496739,37.000000
45.163048,-84.940174,293.587217,2023-12-14 14:45:39-05:00,0.0,0.0,19.013017,38.800000
45.163166,-84.940037,291.107491,2023-12-14 14:45:41-05:00,0.0,0.0,18.733849,40.200000
45.163304,-84.939915,289.081368,2023-12-14 14:45:43-05:00,0.0,0.0,19.64169,33.500000
45.163419,-84.939765,287.175589,2023-12-14 14:45:45-05:00,0.0,0.0,19.14165,42.400000
45.163525,-84.939629,285.300969,2023-12-14 14:45:47-05:00,0.0,0.0,17.80827,43.500000
45.163603,-84.939472,283.254782,2023-12-14 14:45:49-05:00,0.0,0.0,17.164569,49.900000
45.163712,-84.939357,281.359989,2023-12-14 14:45:51-05:00,0.0,0.0,16.224718,40.800000
45.16382,-84.939219,279.728743,2023-12-14 14:45:53-05:00,0.0,0.0,17.866976,40.200000
45.163932,-84.939089,277.496192,2023-12-14 14:45:55-05:00,0.0,0.0,17.563542,43.900000
45.164014,-84.938921,275.155361,2023-12-14 14:45:57-05:00,0.0,0.0,17.979624,50.800000
45.164129,-84.938826,274.540139,2023-12-14 14:45:59-05:00,0.0,0.0,15.99203,35.100000
45.164219,-84.938777,272.305868,2023-12-14 14:46:01-05:00,0.0,0.0,11.885098,19.800000
45.16429,-84.938894,270.438247,2023-12-14 14:46:04-05:00,0.0,0.0,7.614236,316.100000
45.164394,-84.938899,268.426222,2023-12-14 14:46:06-05:00,0.0,0.0,11.069296,355.300000
45.164515,-84.938958,266.894711,2023-12-14 14:46:08-05:00,0.0,0.0,15.250351,342.900000
45.164638,-84.939043,266.524518,2023-12-14 14:46:10-05:00,0.0,0.0,15.973213,338.100000
45.164763,-84.939036,265.326741,2023-12-14 14:46:12-05:00,0.0,0.0,15.15385,357.400000
45.164859,-84.938989,264.483232,2023-12-14 14:46:14-05:00,0.0,0.0,12.498036,16.800000
45.164936,-84.938869,263.862983,2023-12-14 14:46:16-05:00,0.0,0.0,13.001423,41.600000
45.165018,-84.938776,262.78427,2023-12-14 14:46:18-05:00,0.0,0.0,13.190077,36.800000
45.165103,-84.938678,261.873365,2023-12-14 14:46:20-05:00,0.0,0.0,13.150901,39.700000
45.165151,-84.938549,261.147186,2023-12-14 14:46:22-05:00,0.0,0.0,12.240184,58.800000
45.165195,-84.938421,260.547178,2023-12-14 14:46:24-05:00,0.0,0.0,12.20359,61.800000
45.165257,-84.93831,259.709746,2023-12-14 14:46:26-05:00,0.0,0.0,11.950584,53.200000
45.165332,-84.938147,258.370079,2023-12-14 14:46:29-05:00,0.0,0.0,11.648967,64.200000
45.165359,-84.937999,256.00398,2023-12-14 14:46:31-05:00,0.0,0.0,13.195929,69.000000
45.165427,-84.937863,254.991091,2023-12-14 14:46:33-05:00,0.0,0.0,13.795788,60.900000
45.165442,-84.937698,253.483931,2023-12-14 14:46:35-05:00,0.0,0.0,14.483834,77.100000
45.165505,-84.937569,252.052342,2023-12-14 14:46:37-05:00,0.0,0.0,13.871982,57.700000
45.165542,-84.937408,251.689839,2023-12-14 14:46:39-05:00,0.0,0.0,14.609516,72.300000
45.165581,-84.937255,249.999066,2023-12-14 14:46:41-05:00,0.0,0.0,14.020119,68.500000
45.165576,-84.937122,248.914466,2023-12-14 14:46:43-05:00,0.0,0.0,12.009185,88.700000
45.165587,-84.936929,248.703059,2023-12-14 14:46:46-05:00,0.0,0.0,11.650074,94.000000
45.165554,-84.936772,246.041106,2023-12-14 14:46:48-05:00,0.0,0.0,13.64881,99.600000
45.165578,-84.936604,245.041391,2023-12-14 14:46:50-05:00,0.0,0.0,14.677248,80.900000
45.165599,-84.936436,243.596931,2023-12-14 14:46:52-05:00,0.0,0.0,14.873114,80.600000
45.165585,-84.93628,242.398181,2023-12-14 14:46:54-05:00,0.0,0.0,14.108986,88.900000
45.165566,-84.936128,240.98636,2023-12-14 14:46:56-05:00,0.0,0.0,13.443003,97.700000
45.165529,-84.93599,239.649207,2023-12-14 14:46:58-05:00,0.0,0.0,12.664985,106.200000
45.165529,-84.935838,239.52395,2023-12-14 14:47:00-05:00,0.0,0.0,12.939531,92.100000
45.165519,-84.935709,238.645339,2023-12-14 14:47:02-05:00,0.0,0.0,11.833075,98.700000
45.165505,-84.935571,237.578593,2023-12-14 14:47:04-05:00,0.0,0.0,12.172029,95.700000
45.165482,-84.935427,237.149302,2023-12-14 14:47:06-05:00,0.0,0.0,12.735008,102.700000
45.16545,-84.935289,236.236768,2023-12-14 14:47:08-05:00,0.0,0.0,12.478601,106.200000
45.165452,-84.935139,235.150906,2023-12-14 14:47:10-05:00,0.0,0.0,12.761773,91.700000
45.165427,-84.935005,234.979459,2023-12-14 14:47:12-05:00,0.0,0.0,12.073882,105.600000
45.165404,-84.934866,233.50475,2023-12-14 14:47:14-05:00,0.0,0.0,12.585214,101.400000
45.165375,-84.934745,232.718367,2023-12-14 14:47:16-05:00,0.0,0.0,11.540627,111.800000
45.165323,-84.934618,232.423814,2023-12-14 14:47:18-05:00,0.0,0.0,11.796515,116.200000
45.165241,-84.934473,230.299757,2023-12-14 14:47:21-05:00,0.0,0.0,11.496009,124.100000
45.165185,-84.934365,229.534881,2023-12-14 14:47:23-05:00,0.0,0.0,11.309903,128.500000
45.165125,-84.934246,229.454138,2023-12-14 14:47:26-05:00,0.0,0.0,8.350228,124.000000
45.165078,-84.934095,227.054219,2023-12-14 14:47:29-05:00,0.0,0.0,9.946792,111.600000
